"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"05.01.2016 01:15 - 05.01.2016 01:30","43688","47390"
"05.01.2016 01:30 - 05.01.2016 01:45","43479","47031"
"05.01.2016 01:45 - 05.01.2016 02:00","43326","46976"
"05.01.2016 02:00 - 05.01.2016 02:15","43318","46463"
"05.01.2016 02:15 - 05.01.2016 02:30","42933","46215"
"05.01.2016 02:30 - 05.01.2016 02:45","42822","46133"
"05.01.2016 02:45 - 05.01.2016 03:00","42756","46407"
"05.01.2016 03:00 - 05.01.2016 03:15","42973","46474"
"05.01.2016 03:15 - 05.01.2016 03:30","43026","46534"
"05.01.2016 03:30 - 05.01.2016 03:45","42992","46838"
"05.01.2016 03:45 - 05.01.2016 04:00","43417","46939"
"05.01.2016 04:00 - 05.01.2016 04:15","43277","47152"
"05.01.2016 04:15 - 05.01.2016 04:30","43969","47149"
"05.01.2016 04:30 - 05.01.2016 04:45","43572","47516"
"05.01.2016 04:45 - 05.01.2016 05:00","43973","47645"
"05.01.2016 05:00 - 05.01.2016 05:15","45182","48939"
"05.01.2016 05:15 - 05.01.2016 05:30","45118","49437"
"05.01.2016 05:30 - 05.01.2016 05:45","46013","50061"
"05.01.2016 05:45 - 05.01.2016 06:00","46379","51054"
"05.01.2016 06:00 - 05.01.2016 06:15","48455","52678"
"05.01.2016 06:15 - 05.01.2016 06:30","49624","54578"
"05.01.2016 06:30 - 05.01.2016 06:45","51120","56255"
"05.01.2016 06:45 - 05.01.2016 07:00","52353","57487"
"05.01.2016 07:00 - 05.01.2016 07:15","53652","59234"
"05.01.2016 07:15 - 05.01.2016 07:30","53059","60474"
"05.01.2016 07:30 - 05.01.2016 07:45","53678","61638"
"05.01.2016 07:45 - 05.01.2016 08:00","54739","62731"
"05.01.2016 08:00 - 05.01.2016 08:15","55283","63535"
"05.01.2016 08:15 - 05.01.2016 08:30","55417","63834"
"05.01.2016 08:30 - 05.01.2016 08:45","55624","64218"
"05.01.2016 08:45 - 05.01.2016 09:00","55738","64563"
"05.01.2016 09:00 - 05.01.2016 09:15","55943","64432"
"05.01.2016 09:15 - 05.01.2016 09:30","56231","64541"
"05.01.2016 09:30 - 05.01.2016 09:45","56467","65016"
"05.01.2016 09:45 - 05.01.2016 10:00","56952","65426"
"05.01.2016 10:00 - 05.01.2016 10:15","56946","65828"
"05.01.2016 10:15 - 05.01.2016 10:30","57213","65831"
"05.01.2016 10:30 - 05.01.2016 10:45","57494","66176"
"05.01.2016 10:45 - 05.01.2016 11:00","57625","66524"
